player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
859396,Metinho,20.692676249144423,Midfield,Eredivisie,2,1200000,1266.0,48.2,59.4,0.1,42.5,medium,False,6000000,2025-12-29,2026-06-02,False,4.0,4800000,True,2026-01-01,1-2M
703475,Malachi Boateng,21.492128678986994,Midfield,Scottish Premiership,3,300000,2025.0,26.8,84.8,2.6,42.3,medium,False,500000,2025-11-26,2025-11-26,False,0.6666666666666667,200000,False,2026-01-01,<0.5M
641576,Tidjany Touré,21.464750171115675,Attack,Liga Portugal,2,350000,1070.0,32.7,72.7,10.7,42.3,medium,False,300000,2025-12-18,2026-05-28,False,-0.1428571428571429,-50000,False,2026-01-01,<0.5M
709969,Ilias Akhomach,19.709787816564,Attack,LaLiga,1,3000000,1511.0,35.5,73.8,2.6,42.3,medium,False,12000000,2025-12-12,2026-06-05,False,3.0,9000000,True,2026-01-01,2-4M
432698,Kornelius Normann,22.65571526351814,Attack,Eredivisie,2,550000,1391.0,40.4,67.0,2.6,42.2,medium,False,600000,2025-12-18,2025-12-18,False,0.09090909090909083,50000,False,2026-01-01,0.5-1M
627750,Filip Stevanovic,21.267624914442163,Attack,Eredivisie,2,1300000,622.0,19.6,75.2,34.9,42.1,medium,False,900000,2024-05-31,2024-05-31,False,-0.3076923076923077,-400000,False,2026-01-01,1-2M
707802,Nachon Nsingi,22.688569472963724,Attack,Pro League,2,800000,1210.0,35.1,69.0,10.7,42.1,medium,False,300000,2025-12-10,2026-06-04,False,-0.625,-500000,False,2026-01-01,0.5-1M
555194,Mathías Tomás,22.91854893908282,Midfield,Super League Greece,3,450000,1193.0,44.4,61.5,2.6,42.0,medium,False,900000,2025-12-23,2025-12-23,False,1.0,450000,True,2026-01-01,<0.5M
782476,Yoann Cathline,21.44558521560575,Attack,Eredivisie,2,1500000,1719.0,38.6,70.1,0.6,42.0,medium,False,7000000,2025-12-02,2026-05-28,False,3.666666666666667,5500000,True,2026-01-01,1-2M
814525,Nikolaos Zouglis,20.13141683778234,Attack,Super League Greece,3,200000,864.0,20.6,87.4,10.7,42.0,medium,False,450000,2025-12-29,2025-12-29,False,1.25,250000,True,2026-01-01,<0.5M
1103981,Nathaniel Opoku,22.444900752908968,Attack,Pro League,2,800000,813.0,13.4,79.9,40.0,42.0,medium,False,800000,2024-06-04,2024-06-04,False,0.0,0,False,2026-01-01,0.5-1M
502074,Sylvester Jasper,22.299794661190965,Attack,Liga Portugal,2,500000,1685.0,26.6,79.5,10.7,41.9,medium,False,1000000,2025-12-11,2026-06-05,False,1.0,500000,True,2026-01-01,<0.5M
666616,Olakunle Olusegun,21.691991786447637,Attack,Russian Premier Liga,2,2000000,1607.0,36.2,71.8,2.6,41.9,medium,False,2500000,2025-12-16,2026-05-26,False,0.25,500000,False,2026-01-01,1-2M
746838,Zach Booth,19.871321013004792,Attack,Eredivisie,2,400000,1554.0,26.1,74.4,20.2,41.8,medium,False,350000,2025-12-02,2026-06-02,False,-0.125,-50000,False,2026-01-01,<0.5M
